combatRollToOverwrite,combatRollType,optionalResourceTypeAndAmount,description,source,duration,combatRollTypeOld,variation,baseDiceAdjustment,governingSkillName,damageTypes,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect
One-handed Reach Spear +0,Reach Spear,None,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Reach Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},-1d,1,Reach,Steady,None
Two-handed Reach Spear +0,Reach Spear,None,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Reach Spear,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},"+1d8, 2d6",3,Reach,Steady,None
,,,,,,,,,,,,,,,
One-handed Whip +0,Whip,None,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Whip,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,Reach,Swift,None
Dual-wielded Whip +0,Whip,None,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Whip,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,Reach,Swift +1,None
,,,,,,,,,,,,,,,
One-handed Hand Crossbow +0,Hand Crossbow,"{Magic Resource Type}, 1",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None
Two-handed Hand Crossbow +0,Hand Crossbow,"{Magic Resource Type}, 1",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None
Dual-wielded Hand Crossbow +0,Hand Crossbow,"{Magic Resource Type}, 2",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None
,,,,,,,,,,,,,,,
One-handed Light Crossbow +0,Light Crossbow,"{Magic Resource Type}, 1","Crossbows balancing power and reload time. ",Innate,Indefinite,Light Crossbow,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None
Two-handed Light Crossbow +0,Light Crossbow,"{Magic Resource Type}, 1","Crossbows balancing power and reload time. ",Innate,Indefinite,Light Crossbow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None
,,,,,,,,,,,,,,,
Two-handed Heavy Crossbow +0,Heavy Crossbow,"{Magic Resource Type}, 1",Crossbows designed for maximum power disregarding reload time.,Innate,Indefinite,Heavy Crossbow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,2,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None
,,,,,,,,,,,,,,,
Two-handed Light Bow +0,Light Bow,"{Magic Resource Type}, 1",Bows favoring easier drawing versus power.,Innate,Indefinite,Light Bow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None
,,,,,,,,,,,,,,,
Two-handed Heavy Bow +0,Heavy Bow,"{Magic Resource Type}, 1",Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Innate,Indefinite,Heavy Bow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,2,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed Blowgun +0,Blowgun,"{Magic Resource Type}, 1",A long narrow tube that propels darts using the force of the force of the users's breath.,Innate,Indefinite,Blowgun,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
Two-handed Sling +0,Sling,"{Magic Resource Type}, 1",A flexible strap used to hurl small objects.,Innate,Indefinite,Sling,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed Thrown Slash Small Melee +0,Thrown Small,"{Magic Resource Type}, 1","Ninja stars, ect...",Innate,Indefinite,Thrown Slash Small Melee,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None
Dual-wielded Thrown Slash Small Melee +0,Thrown Small,"{Magic Resource Type}, 2","Ninja stars, ect...",Innate,Indefinite,Thrown Slash Small Melee,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed Thrown Medium Spear +0,Thrown Medium Spear,"{Magic Resource Type}, 1","Thrown Javelins, ect...",Innate,Indefinite,Thrown Medium Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed Thrown Large Spear +0,Thrown Large Spear,"{Magic Resource Type}, 1",Thrown two-handed spears.,Innate,Indefinite,Thrown Large Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed Muzzleloading Pistol +0,Muzzleloading Pistol,"{Magic Resource Type}, 1","Flintlock pistols, ect...",Innate,Indefinite,Muzzleloading Pistol,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None
Two-handed Muzzleloading Pistol +0,Muzzleloading Pistol,"{Magic Resource Type}, 1","Flintlock pistols, ect...",Innate,Indefinite,Muzzleloading Pistol,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Extremely Slow,None
Dual-wielded Muzzleloading Pistol +0,Muzzleloading Pistol,"{Magic Resource Type}, 2","Flintlock pistols, ect...",Innate,Indefinite,Muzzleloading Pistol,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Painfully Slow,None
,,,,,,,,,,,,,,,
One-handed Arquebus +0,Arquebus,"{Magic Resource Type}, 1",Can be used as a Combat Roll.,Innate,Indefinite,Arquebus,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None
Two-handed Arquebus +0,Arquebus,"{Magic Resource Type}, 1",Can be used as a Combat Roll.,Innate,Indefinite,Arquebus,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,1,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None
,,,,,,,,,,,,,,,
One-handed Musket +0,Musket,"{Magic Resource Type}, 1",Flintlock smoothbore long guns.,Innate,Indefinite,Musket,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None
Two-handed Musket +0,Musket,"Musket Cartridge, 1",Flintlock smoothbore long guns.,Innate,Indefinite,Musket,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,1,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None
,,,,,,,,,,,,,,,
One-handed 9mm Semi-automatic Pistol +0,"9mm Semi-automatic Pistol ","{Magic Resource Type}, 1","Glock 17, ect...",Innate,Indefinite,9mm Semi-automatic Pistol,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,2,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None
Two-handed 9mm Semi-automatic Pistol +0,9mm Semi-automatic Pistol,"{Magic Resource Type}, 1","Glock 17, ect...",Innate,Indefinite,9mm Semi-automatic Pistol,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift +2,None
Dual-wielded 9mm Semi-automatic Pistol +0,9mm Semi-automatic Pistol,"{Magic Resource Type}, 2","Glock 17, ect...",Innate,Indefinite,9mm Semi-automatic Pistol,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None
,,,,,,,,,,,,,,,
One-handed 9mm Burst-fire Pistol +0,9mm Burst-fire Pistol,"{Magic Resource Type}, 3","Beretta 93R, ect...",Innate,Indefinite,9mm Burst-fire Pistol,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None
Two-handed 9mm Burst-fire Pistol +0,9mm Burst-fire Pistol,"{Magic Resource Type}, 3","Beretta 93R, ect...",Innate,Indefinite,9mm Burst-fire Pistol,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Swift +2,None
Dual-wielded 9mm Burst-fire Pistol +0,9mm Burst-fire Pistol,"{Magic Resource Type}, 6","Beretta 93R, ect...",Innate,Indefinite,9mm Burst-fire Pistol,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None
,,,,,,,,,,,,,,,
One-handed 9mm Automatic Pistol +0,9mm Automatic Pistol,"{Magic Resource Type}, 6","Glock 18, ect...",Innate,Indefinite,9mm Automatic Pistol,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None
Two-handed 9mm Automatic Pistol +0,9mm Automatic Pistol,"{Magic Resource Type}, 6","Glock 18, ect...",Innate,Indefinite,9mm Automatic Pistol,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Rapid,None
Dual-wielded 9mm Automatic Pistol +0,9mm Automatic Pistol,"{Magic Resource Type}, 12","Glock 18, ect...",Innate,Indefinite,9mm Automatic Pistol,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None
,,,,,,,,,,,,,,,
One-handed 12 Gauge Pump-action Shotgun +0,12 Gauge Pump-action Shotgun,"{Magic Resource Type}, 1","Remington 870, Mossberg 500, ect...",Innate,Indefinite,12 Gauge Pump-action Shotgun,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,2,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None
Two-handed 12 Gauge Pump-action Shotgun +0,12 Gauge Pump-action Shotgun,"{Magic Resource Type}, 1","Remington 870, Mossberg 500, ect...",Innate,Indefinite,12 Gauge Pump-action Shotgun,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,2,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None
,,,,,,,,,,,,,,,
One-handed 5.56 Semi-automatic Rifle +0,5.56 Semi-automatic Rifle,"{Magic Resource Type}, 1","AR-15, ect...",Innate,Indefinite,5.56 Semi-automatic Rifle,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,3,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None
Two-handed 5.56 Semi-automatic Rifle +0,5.56 Semi-automatic Rifle,"{Magic Resource Type}, 1","AR-15, ect...",Innate,Indefinite,5.56 Semi-automatic Rifle,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,3,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None
,,,,,,,,,,,,,,,
One-handed 5.56 Burst Rifle +0,5.56 Burst Rifle,"{Magic Resource Type}, 3","M16A2, ect...",Innate,Indefinite,5.56 Burst Rifle,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,3,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None
Two-handed 5.56 Burst Rifle +0,5.56 Burst Rifle,"{Magic Resource Type}, 3","M16A2, ect...",Innate,Indefinite,5.56 Burst Rifle,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,3,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None
,,,,,,,,,,,,,,,
One-handed 5.56 Automatic Rifle +0,5.56 Automatic Rifle,"{Magic Resource Type}, 6","M4, ect...",Innate,Indefinite,5.56 Automatic Rifle,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,3,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None
Two-handed 5.56 Automatic Rifle +0,5.56 Automatic Rifle,"{Magic Resource Type}, 6","M4, ect...",Innate,Indefinite,5.56 Automatic Rifle,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,3,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None
,,,,,,,,,,,,,,,
One-handed .308 Bolt Action Rifle +0,.308 Bolt Action Rifle,"{Magic Resource Type}, 1","Remington M700, ect...",Innate,Indefinite,.308 Bolt Action Rifle,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,4,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None
Two-handed .308 Bolt Action Rifle +0,.308 Bolt Action Rifle,"{Magic Resource Type}, 1","Remington M700, ect...",Innate,Indefinite,.308 Bolt Action Rifle,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,4,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None
,,,,,,,,,,,,,,,
One-handed 5.56 Machine Gun +0,5.56 Machine Gun,"{Magic Resource Type}, 10","M249, ect...",Innate,Indefinite,5.56 Machine Gun,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},-2d,3,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None
Two-handed 5.56 Machine Gun +0,5.56 Machine Gun,"{Magic Resource Type}, 10","M249, ect...",Innate,Indefinite,5.56 Machine Gun,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+4d6,3,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None
,,,,,,,,,,,,,,,
One-handed RPG Launcher +0,RPG Launcher,"{Magic Resource Type}, 1","RPG-7, ect...",Innate,Indefinite,RPG Launcher,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},-2d,4,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere
Two-handed RPG Launcher +0,RPG Launcher,"{Magic Resource Type}, 1","RPG-7, ect...",Innate,Indefinite,RPG Launcher,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+6d6,4,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere
